ZIPCODE,Year,Quarter,NSA,Index_Type
12,2001,1,132.20,Native 3-Digit ZIP index
12,2001,2,134.42,Native 3-Digit ZIP index
12,2001,3,134.40,Native 3-Digit ZIP index
12,2001,4,138.21,Native 3-Digit ZIP index
12,2002,1,141.47,Native 3-Digit ZIP index
12,2002,2,144.88,Native 3-Digit ZIP index
12,2002,3,150.25,Native 3-Digit ZIP index
12,2002,4,153.59,Native 3-Digit ZIP index
12,2003,1,155.84,Native 3-Digit ZIP index
12,2003,2,156.80,Native 3-Digit ZIP index
12,2003,3,162.08,Native 3-Digit ZIP index
12,2003,4,169.74,Native 3-Digit ZIP index
12,2004,1,170.50,Native 3-Digit ZIP index
12,2004,2,175.91,Native 3-Digit ZIP index
12,2004,3,183.21,Native 3-Digit ZIP index
12,2004,4,190.72,Native 3-Digit ZIP index
12,2005,1,191.48,Native 3-Digit ZIP index
12,2005,2,199.58,Native 3-Digit ZIP index
12,2005,3,205.39,Native 3-Digit ZIP index
12,2005,4,206.32,Native 3-Digit ZIP index
12,2006,1,214.78,Native 3-Digit ZIP index
12,2006,2,216.01,Native 3-Digit ZIP index
12,2006,3,216.54,Native 3-Digit ZIP index
12,2006,4,219.82,Native 3-Digit ZIP index
12,2007,1,220.91,Native 3-Digit ZIP index
12,2007,2,220.08,Native 3-Digit ZIP index
12,2007,3,219.41,Native 3-Digit ZIP index
12,2007,4,220.77,Native 3-Digit ZIP index
12,2008,1,221.25,Native 3-Digit ZIP index
12,2008,2,218.28,Native 3-Digit ZIP index
12,2008,3,207.77,Native 3-Digit ZIP index
12,2008,4,217.02,Native 3-Digit ZIP index
12,2009,1,217.69,Native 3-Digit ZIP index
12,2009,2,213.26,Native 3-Digit ZIP index
12,2009,3,212.33,Native 3-Digit ZIP index
12,2009,4,207.73,Native 3-Digit ZIP index
12,2010,1,211.00,Native 3-Digit ZIP index
12,2010,2,206.59,Native 3-Digit ZIP index
12,2010,3,209.57,Native 3-Digit ZIP index
12,2010,4,208.77,Native 3-Digit ZIP index
12,2011,1,204.40,Native 3-Digit ZIP index
12,2011,2,204.29,Native 3-Digit ZIP index
12,2011,3,201.56,Native 3-Digit ZIP index
12,2011,4,206.09,Native 3-Digit ZIP index
12,2012,1,206.76,Native 3-Digit ZIP index
12,2012,2,202.57,Native 3-Digit ZIP index
12,2012,3,202.41,Native 3-Digit ZIP index
12,2012,4,201.26,Native 3-Digit ZIP index
12,2013,1,205.13,Native 3-Digit ZIP index
12,2013,2,202.27,Native 3-Digit ZIP index
12,2013,3,197.36,Native 3-Digit ZIP index
12,2013,4,196.68,Native 3-Digit ZIP index
